,paragraph
1370,Forests are an unusual economic sector in which they provide a substantial carbon sink and that significant harm for forest climate change mitigation include where an adaptation activity leads to a significant longterm reduction of the carbon sink It is therefore important to maintain the forest area and thus forest carbon stocks and sink potential over the longterm The principles for ensuring mitigation proofed adaptation activities are that adaptation responses should
1371,Adaptation responses shall comply with the requirement set out in Article 297b of the recast Renewable Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term
1372,Minimise the use of pesticides and favour alternative approaches or techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
1373,Take well documented and verifiable measures to avoid the use of active ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
1374,provenance of trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
1375,The Taxonomy defines forest management as management of the land which is reported as forest in accordance with the Sustainable Forest Management principles SFM is further defined by Forest Europe as sustainable forest management means using forests and forest land in a way and at a rate that maintains their biodiversity productivity regeneration capacity vitality and their potential to fulfil now and in the future relevant ecological economic and social functions at local national and global levels and that does not cause damage to other ecosystems452
1376,The DNSH criteria below should be considered in combination with the SFM requirements of the forest mitigation Taxonomy criterion 1 The criteria can be informed by applying forest certification using independent thirdparty schemes that are regularly audited Compliance shall be reported through a forest management plan or equivalent as per criterion 3 of the forest mitigation Taxonomy
1377,Forests are an unusual economic sector in which they provide a substantial carbon sink and that significant harm for forest climate change mitigation include where an adaptation activity leads to a significant longterm reduction of the carbon sink It is therefore important to maintain the forest area and thus forest carbon stocks and sink potential over the longterm The principles for ensuring mitigation proofed adaptation activities are that adaptation responses should
1378,requirement set out in Article 297b of the recast Renewable Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term453
1379,453 Article 29 of the recast RED sets out sustainability criteria for forests to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This is explicitly defined in Article 297b which requires management systems are in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This places the emphasis of the no significant harm requirement at a level more appropriate for the operation of the Taxonomy andor investment rather than relying on national level requirements
1380,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1381,approaches or techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
1382,the use of active ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
1383,biodiversity loss or of high conservation value such as grasslands and any high carbon stock area eg peat lands and wetlands and areas set aside for the restoration of such habitats in line with national legislation
1384,Promote closetonature forestry or similar concepts depending on the local requirements and limitations  Select native species or species varieties ecotypes and provenance of trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
1385,That in which the primary designated management objective FAO FRA definition is that of conservation Specifically those forests where the management objectives are conservation of biodiversity or social services based on the FAO FRA definitions456
1386,The DNSH criteria below should be considered in combination with the SFM requirements of the forest mitigation Taxonomy criterion 1 The criteria can be informed by applying forest certification using independent thirdparty schemes that are regularly audited Compliance shall be reported through a forest management plan or equivalent as per criterion 3 of the forest mitigation Taxonomy
1387,Forests are an unusual economic sector in which they provide a substantial carbon sink and that significant harm for forest climate change mitigation include where an adaptation activity leads to a significant longterm reduction of the carbon sink It is therefore important to maintain the forest area and thus forest carbon stocks and sink potential over the longterm The principles for ensuring mitigation proofed adaptation activities are that adaptation responses should
1388,Article 297b of the recast Renewable Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term457
1389,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1390,457 Article 29 of the recast RED sets out sustainability criteria for forests to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This is explicitly defined in Article 297b which requires management systems are in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This places the emphasis of the no significant harm requirement at a level more appropriate for the operation of the Taxonomy andor investment rather than relying on national level requirements
1391,techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
1392,ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
1393,No conversion of habitats specifically sensitive to biodiversity loss or of high conservation value such as grasslands and any high carbon stock area eg peat lands and wetlands and areas set aside for the restoration of such habitats in line with national legislation
1394,trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
1395,Note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned
1396,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1397,463 Consistent with RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production
1398,467 Consistent with GAEC 5 of Annex III of COM2018392 The aim is to provide farmers with a digital tool that helps them optimize the use of nutrients on their farm leading to environmental and agronomic benefits
1399,468 It is noted that the EU Circular Economy Strategy and many of the actions from the corresponding actions plans have relevance to agriculture that may provide guidance here eg proposing legislation setting minimum requirements for reused water for agricultural irrigation new Fertiliser Regulation introducing harmonised rules for organic fertilisers manufactured from secondary raw materials such as agricultural byproducts and biowastes
1400,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible and with appropriate equipment and techniques to reduce risk and impacts of pesticide use on human health and the environment eg water and air pollution and the loss of excess nutrients470
1401,469 See also National Emission Ceilings Directive EU 20162284 notably Annex III part 2 and the related provisions in the National Air Pollution Control Programme established by each Member State under this Directive
1402,470 See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance
1403,474 Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
1404,Note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned
1405,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1406,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible
1407,478 Consistent with RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production
1408,482 Consistent with GAEC 5 of Annex III of COM2018392 The aim is to provide farmers with a digital tool that helps them optimize the use of nutrients on their farm leading to environmental and agronomic benefits
1409,483 It is noted that the EU Circular Economy Strategy and many of the actions from the corresponding actions plans have relevance to agriculture that may provide guidance here eg proposing legislation setting minimum requirements for reused water for agricultural irrigation new Fertiliser Regulation introducing harmonised rules for organic fertilisers manufactured from secondary raw materials such as agricultural byproducts and biowastes
1410,Activities do not lead to the conversion fragmentation or unsustainable intensification of highnaturevalue farmland wetlands forests or other areas of highbiodiversity value486 This includes highly biodiverse grassland spanning more than one hectare that is
1411,iv nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority
1412,Where activities involve the production of novel nonnative or invasive alien species their cultivation should be subject to an initial risk assessment and ongoing monitoring in order to ensure that sufficient safeguards are in place to prevent escape to the environment
1413,484 See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance
1414,487 Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
1415,The table below illustrates the typical sensitivities of the growing of nonperennial crops to climaterelated hazards Relevant climaterelated hazard will be location and context specific and should be identified through a climate risk assessment as indicated in screening criterion A1
1416,The table below provides examples of adaptation measures that can be adopted to reduce risks resulting from specific hazards for illustrative purpose only Relevant climaterelated hazards and required adaptation measures will be location and context specific and will be identified through the application of the qualitative screening criteria described above
1417,The activity livestock production captures a distinct set of subactivities that would include intensive and extensive forms of livestock rearing as well as the management of permanent grassland These come with different key environmental aspects that need to be considered for investments in this sector summarised as follows
1418,To note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned
1419,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1420,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible to reduce risk and impacts of pesticide use on human health and the environment eg water and air pollution and the loss of excess nutrients through leaching volatilisation or oxidisation495
1421,491 Consistent with RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production
1422,495 See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance
1423,high protection of human and animal health and the environment496Ensure emissions to air water and soil are within the BATAEL ranges  are prevented or reduced by using a combination of BAT techniques as set out in the BREF for the Intensive Rearing of Poultry or Pigs497 and by using similar emission reducing techniques for dairy farming
1424,iv nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority
1425,498 This threshold derives from the provisions set out under the Nitrates Directive 91676EC Council Directive 91676EEC of 12 December 1991 concerning the protection of waters against pollution caused by nitrates from agricultural sources In practice the threshold of 170kghayear has been implemented by Member States by setting limits on livestock density between 17  20 livestock units  ha Livestock unit is a reference unit which facilitates the aggregation of livestock from various species and age as per convention via the use of specific coefficients established on the basis of the nutritional or feed requirement of each type of animal see for example httpseceuropaeueurostatstatisticsexplainedindexphpGlossaryLivestock_unit_LSU
1426,500 Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
1427,Depending on the productequipment being manufactured there may also be issues with respect to the embodied carbon and the demand for certain metals and materials eg rare earth metals which are in limited supply and may have significant environmental impact issues associated with the mining phase
1428,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1429,Embodied carbon emissions should represent less than 50 of the total carbon emissions saved by the use of the energy efficient equipment Carbon emissions and savings at the endoflife stage are not included in the assessment for this criteria too uncertain
1430,Compliance with the REACH Registration Evaluation Authorisation and Restriction of Chemicals Regulation 12722008EC and the RoHS Restriction of Hazardous Substances Regulation 200295EC or the equivalent for equipment manufactured and used outside the EU nb equipment manufactured outside of the EU but imported into the EU must comply with the REACH and RoHS Regulations
1431,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityeco systems in particular UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1432,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU
1433,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data  for that economic activity
1434,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1435,For cement production sites using hazardous wastes as alternative fuels ensure a waste management plan that meets EU standards or equivalent for plants operated in nonEU countries exists and is implemented
1436,Exclusion of refuse derived fuels for cement production Co incineration of waste has significant impacts on health and the environment due to the polluting nature of the associated emissions and higher emissions ceiling for cement plants in comparison with dedicated waste incineration plants Furthermore promoting waste as eligible fuel source may undermine waste minimisation efforts in other sectors
1437,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityeco systems particularly UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1438,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU
1439,the potential for significant air emission impacts perfluorocarbons fluoride gases polycyclic aromatic hydrocarbons PAHs and particulate matter eg unused cryolite Hydrogen fluorides can be toxic to vegetation  the toxic corrosive and reactive nature of waste generated by the used linings cathodes from the electrolytic cells known as spent pot lining SPL Dissolved fluorides and cyanides from the SPL material can create significant environmental impacts including groundwater contamination and pollution of local watercourses  the ability or lacking thereof of aluminium manufacturing plants to incorporate aluminium scrap including scrap from their own manufacturing processes in the production process and the potential to impact ecosystems as a result of the land footprint of the site and from polluting emissions
1440,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity
1441,In order to avoid risks to circular economy aluminium manufacturing plants need to be able to process aluminium scrap In order to avoid unnecessary resource and energy consumption the aluminium scrap collection and sorting activities should be optimised for separation on an alloy specific basis If scrap alloys are mixed the functionality of the recycled material is restricted and valuable alloying elements may be lost
1442,Emissions to air eg sulphur dioxide  SO2 nitrogen oxide  NOx particulate matter Total Organic Carbon TOC dioxins  mercury Hg hydrogen chloride HCL hydrogen fluoride HF Total Fluoride and PFCs polyfluorinated hydrocarbons PFCs are within the BATAEL ranges set in the BREF for the NonFerrous Metals Industries 501
1443,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks   whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems in particular UNESCO Word Heritage and Key Biodiversity Areas KBAs have been implemented
1444,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries based on the conservation objectives of the protected area For such sitesoperations ensure that
1445,Climate mitigation  emissions to air from cokemaking and smelting operations especially particulate matter dust oxides of nitrogen sulphur dioxide carbon monoxide chlorides fluorides volatile organic compounds polycyclic aromatic hydrocarbons PAHs polychlorinated dibenzo dioxinsfurans and heavy metals
1446,the potential to impact local ecosystems and biodiversity due to the polluting emissions if not properly mitigated and due to the large land footprint of the operations and associated ancillary activities and
1447,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission
1448,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1449,Ensure emissions to water and air are within the BATAEL ranges set in the BREF for iron and steel production eg for pH total suspended solids TSS chemical oxygen demand COD chromium total and heavy metals for sulphur dioxide  SO2 nitrogen oxide  NOx particulate matter polychlorinated dibenzo dioxinsfurans mercury Hg hydrogen chloride HCL and hydrogen fluoride HF
1450,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems particularly UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1451,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance
1452,The main potential significant harm to other environmental objectives from the manufacture of hydrogen is in practical terms inseparable from the potential for significant harm created by the hydrocarbon refining activity more generally and is associated with
1453,water resources and  the generation of wastes eg spent catalysts and byproducts of the various physical and chemical treatment processes used in purifying the hydrogen produced via hydrocarbon processing
1454,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity
1455,Where manufacture of hydrogen takes place within the context of an oil and gas refining installation ensure appropriate measures are in place to minimize and manage waste and material use in accordance with the BAT conclusions of the BREF for the Refining of Mineral Oil and Gas
1456,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems particularly UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1457,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries based on the conservation objectives of the protected area For such sitesoperations ensure that
1458,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions
1459,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1460,Wastes and byproducts especially hazardous manufacturing wastes are managed in line with the Waste Treatment BREF and the requirements set out in BREF LVIC S Large Volumes Inorganic Chemicals Solids and others Industry
1461,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems particularly UNESCO World Heritage sites and Key Biodiversity Areas KBAs have been implemented
1462,the use of water in water scarce areas for cooling purposes and impacts on ecosystems and biodiversity from the disposal of wastes and byproducts primarily calcium carbonate gypsum sodium chloride and calcium chloride although there can be trace amounts of toxic materials such as mercury cadmium arsenic and zinc depending on the
1463,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity
1464,For operations situated in areas of water stress ratio between naturally incoming and extracted water UNEP endorsed AWARE methodology ISO compliant ensure that water useconservation management plans developed in consultation with relevant local stakeholders exist and are implemented
1465,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems in particular UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1466,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries
1467,Due to the intrinsic hazard properties of chlorine it is recommended to further assess when Chlorine could be considered part of the solution to achieving zero pollution toxic free environment and therefore should not excluded from the taxonomy due to DNSH implications
1468,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity
1469,For operations situated in areas of water stress ratio between naturally incoming and extracted water UNEP endorsed AWARE methodology ISO compliant ensure that water useconservation management plans developed in consultation with relevant local stakeholders exist and are implemented
1470,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems in particular UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1471,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries based on the conservation objectives of the protected area For such sitesoperations ensure that
1472,vulnerable ecosystems might be damaged by the construction andor operation of the production facilities the use of water resources for production purposes eg cooling water in water stressed areas and  the generation of hazardous wastes
1473,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data  for that economic activity
1474,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1475,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for
1476,505 Best Available Techniques BAT Reference Document for Common Waste Water and Waste Gas TreatmentManagement Systems in the Chemical Sector available at httpeippcbjrceceuropaeureferenceBREFCWW_Bref_2016_publishedpdf pp 539557
1477,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries based on the conservation objectives of the protected area For such sitesoperations ensure that
1478,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity
1479,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1480,Ensure polluting emissions to air eg nitrogen oxides NOx and ammonia NH3 and water are within BATAEL ranges set in the BREF LVICAAF Large Volume Inorganic Chemicals  Ammonia Acids and Fertilisers the BREF CWW Common Waste Water and Waste Gas TreatmentManagement Systems in the Chemical Sector and the BREF EFS Emissions from Storage
1481,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems in particular UNESCO World Heritage and Bey Biodiversity Areas KBAs have been implemented
1482,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries based on the conservation objectives of the protected area For such sitesoperations ensure that
1483,polluting emissions to air and water from the production process  vulnerable ecosystems might be damaged by the construction andor operation of the production facilities the use of water resources for production purposes eg cooling water in water stressed areas and  the generation of hazardous wastes
1484,The production of polymers includes a lot of synthesis hence in order to allow a clear demarcation and in order to NOT go beyond the limits of this sector 2016 it has to be acknowledged that precursors are covered under C2011 C2013 C2014 C2015
1485,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity
